PrivacyBrowser,"68,59%","90,98%","23,64%","30,40%","0,00%","1.214,81%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
PrivacyBrowser,"6,61627906976744","2,66279069767442","1,48837209302326",0,"35,2674418604651","28,3720930232558"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Smart Browser,"525,4375","1322,40625","525,4375","1322,40625",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Smart Browser,52,0,8501,0,8428,67350,66052,0,16915,16712,0
Project,AHF,AIF,CF,MHF,MIF,PF
Smart Browser,"91,53%","87,93%","18,32%","36,92%","0,62%","935,90%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Smart Browser,"7,26923076923077","2,74358974358974","2,03846153846154","0,025641025641026","26,0897435897436","14,8717948717949"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Tor-Browser,"18882,6363636364","19024,4545454545","18879,4545454545","19011,7272727273","3,18181818181818","12,7272727272727"
Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Tor-Browser,98,0,520,0,273,212146,207674,35,842,666,24
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Tor-Browser,"10,79%","72,00%","25,00%","41,67%","0,00%","100,00%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Tor-Browser,"1,125","1,625","1,375",0,"14,375","6,5"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
UFO Web Browser,"299,352941176471","1066,03529411765","289,717647058823","1022,87058823529","9,63529411764706","43,1647058823529"
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
UFO Web Browser,198,287,6329,12296,6985,72909,24626,819,22772,21226,741
Navegadores,AHF,AIF,CF,MHF,MIF,PF
UFO Web Browser,"97,94%","40,00%","37,33%","52,22%","1,46%","100,00%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
UFO Web Browser,"4,34285714285714","1,32352941176471","3,17142857142857","0,323529411764706","33,1666666666667","28,0857142857143"
Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
/,25,20372,786321,0,29002,932827,786534,3023,664711,611749,2585
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Ungoogled Chromium,"1648,34446764092","8925,01919385797","1642,03340292276","8899,08829174664","6,31106471816284","25,9309021113244"
MOOD metrics,S�b, 24 ago 2019 12:03:15 BRT
Project,AHF,AIF,CF,MHF,MIF,PF
project,"83,00%","35,76%","0,27%","47,97%","41,17%","21,42%"

Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Ungoogled Chromium,"9,84581908610507","1,45001562011871","2,23360273546783","0,354264292408622","17,0341085271318","14,3714640969848"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Waterfox,"1542,61832061069","7741,89198606272","1542,20610687023","7739,59233449477","0,412213740458015","2,29965156794425"
Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,1002,14603,403365,0,28655,514946,404058,108,369744,293254,95
MOOD metrics,Sex, 23 ago 2019 10:04:34 BRT
Project,AHF,AIF,CF,MHF,MIF,PF
project,"74,26%","30,23%","0,45%","44,12%","38,15%","29,93%"

Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Waterfox,"9,38470451911935","1,63097398669087","1,73406720741599","0,369026013309135","14,8529918739227","13,9339513325608"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Yuzu Browser,"329,688356164384","1355,52397260274","322,75","1318,04109589041","6,93835616438356","37,4828767123288"
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Yuzu Browser,1226,1360,17961,50362,22545,100296,94414,2026,81913,77971,1225
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Yuzu Browser,"62,84%","82,18%","3,48%","25,86%","10,40%","83,77%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Yuzu Browser,"3,81147540983607","2,03688524590164","1,75409836065574","0,180327868852459","17,9262295081967","11,3852459016393"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Zirco,748,1874,748,1874,0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Zirco,33,34,12459,0,4173,17584,17204,0,13381,13279,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Zirco,"79,74%","64,19%","10,93%","50,64%","2,09%","606,00%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Zirco,"5,72222222222222","2,26470588235294","1,84259259259259","0,058823529411765","23,2053571428571","14,9259259259259"
